frame_idx,filename,c_sp,c_grad,c_sp_norm,c_grad_norm,sk_raw,s_bar,cx_pix,cy_pix,R_pix,x_arm,y_arm,z_arm
0,us_000000_1754810726.765063.png,8.08086776846133,3.5804660320282,0.459140214117121,0.504290990426507,0.481715602271814,0.481715602271814,1041.28392736864,993.363259477282,186.050166944195,1.2112787618798,0.380927848826796,1.12460215034055
1,us_000001_1754810726.860951.png,8.03351291498079,3.60485553741455,0.456449597442091,0.507726132030218,0.482087864736154,0.481790054764682,1041.73894490052,996.747172990592,188.521270970977,1.21108862708642,0.380922398985451,1.1245057722034
2,us_000002_1754810726.959274.png,8.12808873403859,3.59492707252502,0.46182322352492,0.506327756693665,0.484075490109293,0.482247141833604,1040.10473964219,1049.57721257947,238.550588419031,1.20839483839951,0.381100066332787,1.12260606068052
3,us_000003_1754810727.058922.png,8.05444134627461,3.54990363121033,0.457638712856512,0.499986426931032,0.478812569893772,0.481560227445638,1038.25863206366,1047.18413575303,236.386046330297,1.20857720656597,0.381149756719258,1.12260530379267
4,us_000004_1754810727.156658.png,8.13163327410252,3.54476118087769,0.462024617846734,0.499262138151787,0.48064337799926,0.481376857556362,1037.87360318984,1040.7314829212,230.254717495228,1.20892459923702,0.381145636262354,1.12281090307833
5,us_000005_1754810727.256716.png,8.01633867924542,3.57756590843201,0.45547378859349,0.503882522314367,0.479678155453929,0.481037117135876,1037.14498517819,1058.6242853118,247.840078909984,1.20801775447946,0.381211076040939,1.12215957922704
6,us_000006_1754810727.356967.png,8.04107714005429,3.59134149551392,0.45687938295763,0.50582274584703,0.48135106440233,0.481099906589167,1036.99604535386,1051.42117418947,240.593464183116,1.20839672258165,0.381198030656527,1.12240178827827
7,us_000007_1754810727.456577.png,8.04234562072061,3.60696935653687,0.456951455722762,0.508023853033361,0.482487654378061,0.481377456146946,1037.34774775922,1052.97827768333,242.325168563376,1.20830475926259,0.38119124316395,1.12236387460008
8,us_000008_1754810727.556117.png,8.06027225352027,3.53619027137756,0.457970014404561,0.498054967799657,0.478012491102109,0.480704463137978,1037.91686527147,1045.14661189739,234.537645218808,1.20869382117638,0.381155076663968,1.12266027019584
9,us_000009_1754810727.655580.png,8.06346944386681,3.540771484375,0.458151672946978,0.498700209066901,0.478425941006939,0.480248758711771,1037.9516128896,1021.41252440029,212.397375127641,1.20992599704306,0.381096290634041,1.12348210145281
10,us_000010_1754810727.756032.png,8.04121996920898,3.55625319480896,0.45688749825051,0.500880731663234,0.478884114956872,0.479975829960791,1038.28631885216,1047.96978946439,236.994996784335,1.20853551237943,0.381150835546634,1.12257940298278
11,us_000011_1754810727.857482.png,8.0523663081595,3.55711388587952,0.457520812963608,0.501001955757678,0.479261384360643,0.479832940840761,1040.04032754767,1003.48618077074,195.472064033601,1.21079183961122,0.380989871224137,1.12419607457112
12,us_000012_1754810727.956736.png,8.00398906656293,3.5207998752594,0.454772106054712,0.495887306374563,0.475329706214637,0.478932293915537,1037.72359449462,1060.48028232456,249.665882389655,1.20790312886984,0.381198192629367,1.12212159413753
13,us_000013_1754810728.056986.png,8.02664130553758,3.58221244812012,0.456059165087363,0.50453696452396,0.480298064805661,0.479205448093562,1037.0617993576,1053.87000805959,243.511717815612,1.2082674100451,0.381202011051406,1.12232012826531
14,us_000014_1754810728.156763.png,8.06482960778206,3.58005356788635,0.458228954987617,0.504232896885402,0.481230925936509,0.479610543662151,1040.56798259698,995.479158093555,188.139342109082,1.21119131647993,0.380954524883353,1.12449665605584
15,us_000015_1754810728.256615.png,8.01783420172062,3.57133078575134,0.455558761461399,0.503004336021316,0.479281548741357,0.479544744677992,1039.23181001123,999.558092143875,191.874383009284,1.21102136055102,0.38100462690161,1.12429527787457
16,us_000016_1754810728.356602.png,8.09630270730469,3.59070634841919,0.460017199278675,0.505733288509745,0.48287524389421,0.480210844521236,1041.09048058533,1000.23928349787,192.237565724216,1.21092755035051,0.380950394007898,1.12435576623764
17,us_000017_1754810728.455531.png,8.05540058660573,3.55791115760803,0.457693215148053,0.501114247550427,0.47940373134924,0.480049421886837,1039.82499855432,1010.96620665242,202.131441222442,1.21040993072008,0.381014543840281,1.12392782660673
18,us_000018_1754810728.556028.png,8.03980588203006,3.56809210777283,0.456807152388072,0.502548184193356,0.479677668290714,0.479975071167612,1042.65310286706,992.486733437866,185.021159877328,1.21128127743949,0.380884545350118,1.12469434398191
19,us_000019_1754810728.655802.png,8.07186076718685,3.59174108505249,0.458628452681071,0.505879026063731,0.482253739372401,0.48043080480857,1037.81689422564,1059.36834051553,248.523838122096,1.207957975242,0.381192681938218,1.12216424141425
20,us_000020_1754810728.756681.png,8.07996147018677,3.55031991004944,0.459088719896976,0.500045057753442,0.479566888825209,0.480258021611898,1038.82591744539,1001.37813820904,193.426496663549,1.21093954390065,0.381021259944392,1.12421402586435
21,us_000021_1754810728.857649.png,8.10169463462175,3.61090779304504,0.460323558785326,0.50857856240071,0.484451060593018,0.481096629408122,1037.83205864834,1044.27522063349,233.732646635171,1.20874176560727,0.381155506841353,1.12268655174074
22,us_000022_1754810728.956668.png,8.10169463462175,3.61090779304504,0.460323558785326,0.50857856240071,0.484451060593018,0.481767515645101,1037.83205864834,1044.27522063349,233.732646635171,1.20874176560727,0.381155506841353,1.12268655174074
23,us_000023_1754810729.056561.png,8.06482813527414,3.53447961807251,0.458228871322395,0.497814030714438,0.478021451018416,0.481018302719764,1041.30177884273,994.917096897449,187.091351178612,1.21119746052393,0.380931092267436,1.12454925611464
24,us_000024_1754810729.156967.png,8.08569057289955,3.57160663604736,0.459414237096565,0.503043188175685,0.481228712636125,0.481060384703037,1038.11418041382,1017.25633795341,208.345767179173,1.21013685115843,0.381081290912579,1.12363309074095
25,us_000025_1754810729.256613.png,8.04684956987498,3.53418278694153,0.457207361924715,0.497772223512891,0.477489792718803,0.48034626630619,1037.32233800578,1046.69883232743,236.377505032554,1.20863184965347,0.381176730365574,1.12257974616689
